feature,importance
hr,0.17365994
workingday,0.1476552
yr,0.10980125
season_4,0.06593266
weathersit_3,0.05117886
temp,0.049521994
atemp,0.04199457
mnth_10,0.026979784
season_3,0.026000284
hum,0.023572525
weekday_6,0.01988184
mnth_9,0.019073162
season_2,0.018198058
mnth_12,0.01751631
mnth_3,0.017377526
mnth_5,0.017349264
weekday_5,0.016116645
mnth_2,0.014928966
mnth_4,0.014718724
mnth_6,0.014227183
mnth_8,0.012577823
mnth_7,0.0124965375
weekday_4,0.012151296
weekday_2,0.012035398
weekday_1,0.01200954
holiday,0.011672352
weekday_3,0.010971866
windspeed,0.010210554
weathersit_2,0.010183848
mnth_11,0.009201435
weathersit_4,0.00080472336
